Planetary Mass (M_Earth),Planetary Mass (kg),Rayleigh Number,log10_Ra,above_Ra_crit,above_Ra_robust
6.1653266331658285,3.681933065326633e+25,1611574826.6887221,9.207250474951408,True,True
6.265577889447236,3.7418031155778897e+25,1656643644.6290867,9.219229098754099,True,True
6.365829145728643,3.801673165829146e+25,1702227388.0761633,9.231017573839383,True,True
6.46608040201005,3.861543216080402e+25,1748323691.960689,9.242621842839572,True,True
6.566331658291457,3.921413266331658e+25,1794930238.7835367,9.254047574084193,True,True
6.666582914572864,3.9812833165829145e+25,1842044756.9431863,9.265300178226362,True,True
6.766834170854271,4.041153366834171e+25,1889665019.1463957,9.276384823628192,True,True
6.867085427135678,4.101023417085427e+25,1937788840.8967817,9.287306450614814,True,True
6.967336683417085,4.1608934673366836e+25,1986414079.0563757,9.298069784695333,True,True
7.067587939698492,4.220763517587939e+25,2035538630.4756372,9.308679348839322,True,True
7.167839195979899,4.280633567839196e+25,2085160430.6877456,9.319139474888678,True,True
7.268090452261307,4.340503618090453e+25,2135277452.6632795,9.329454314176886,True,True
7.368341708542713,4.400373668341708e+25,2185887705.621699,9.33962784742086,True,True
7.46859296482412,4.460243718592965e+25,2236989233.8962994,9.349663893944337,True,True
7.568844221105527,4.520113768844221e+25,2288580115.849538,9.359566120286303,True,True
7.669095477386934,4.579983819095477e+25,2340658462.8358574,9.369338048243039,True,True
7.769346733668342,4.639853869346734e+25,2393222418.2093334,9.37898306238788,True,True
7.869597989949749,4.69972391959799e+25,2446270156.3736544,9.388504417108894,True,True
7.969849246231155,4.759593969849246e+25,2499799881.8720937,9.397905243201107,True,True
8.070100502512563,4.819464020100503e+25,2553809828.515331,9.407188554046655,True,True
8.17035175879397,4.879334070351759e+25,2608298258.545071,9.416357251413425,True,True
8.270603015075377,4.9392041206030154e+25,2663263461.8315954,9.425414130900075,True,True
8.370854271356784,4.999074170854271e+25,2718703755.1034346,9.434361887053027,True,True
8.471105527638192,5.058944221105529e+25,2774617481.207556,9.443203118178836,True,True
8.5713567839196,5.118814271356785e+25,2831003008.398447,9.451940330873457,True,True
8.671608040201006,5.178684321608041e+25,2887858729.6547084,9.460575944288168,True,True
8.771859296482413,5.238554371859297e+25,2945183062.0217233,9.469112294150293,True,True
8.87211055276382,5.2984244221105535e+25,3002974445.9791665,9.477551636555472,True,True
8.972361809045227,5.358294472361809e+25,3061231344.8321114,9.485896151546847,True,True
9.072613065326633,5.418164522613066e+25,3119952244.124608,9.494147946495401,True,True
9.17286432160804,5.478034572864322e+25,3179135651.074692,9.50230905929455,True,True
9.273115577889447,5.537904623115578e+25,3238780094.0297575,9.510381461381096,True,True
9.373366834170854,5.597774673366834e+25,3298884121.941408,9.518367060593757,True,True
9.473618090452263,5.6576447236180916e+25,3359446303.858828,9.526267703879638,True,True
9.57386934673367,5.717514773869347e+25,3420465228.439891,9.534085179858232,True,True
