M_planet (M_Earth),M_planet (kg),Pressure (bar),Total Delta-V (km/s)
7.854899e-01,4.690946e+24,2.592944e-01,1.167987e+01
7.854899e-01,4.690946e+24,3.039195e-01,1.168288e+01
7.854899e-01,4.690946e+24,3.562248e-01,1.168641e+01
7.854899e-01,4.690946e+24,4.175319e-01,1.169054e+01
7.854899e-01,4.690946e+24,4.893901e-01,1.169537e+01
7.854899e-01,4.690946e+24,5.736153e-01,1.170103e+01
7.854899e-01,4.690946e+24,6.723358e-01,1.170764e+01
7.854899e-01,4.690946e+24,7.880463e-01,1.171538e+01
7.854899e-01,4.690946e+24,9.236709e-01,1.172442e+01
7.854899e-01,4.690946e+24,1.000000e+00,1.172950e+01
7.854899e-01,4.690946e+24,1.082637e+00,1.173498e+01
7.854899e-01,4.690946e+24,1.268961e+00,1.174731e+01
7.854899e-01,4.690946e+24,1.487352e+00,1.176170e+01
7.854899e-01,4.690946e+24,1.743329e+00,1.177847e+01
7.854899e-01,4.690946e+24,2.043360e+00,1.179800e+01
7.854899e-01,4.690946e+24,2.395027e+00,1.182072e+01
7.854899e-01,4.690946e+24,2.807216e+00,1.184710e+01
7.854899e-01,4.690946e+24,3.290345e+00,1.187770e+01
7.854899e-01,4.690946e+24,3.856620e+00,1.191311e+01
7.854899e-01,4.690946e+24,4.520354e+00,1.195399e+01
7.854899e-01,4.690946e+24,5.298317e+00,1.200105e+01
7.854899e-01,4.690946e+24,6.210169e+00,1.205501e+01
7.854899e-01,4.690946e+24,7.278954e+00,1.211661e+01
7.854899e-01,4.690946e+24,8.531679e+00,1.221335e+01
7.854899e-01,4.690946e+24,1.000000e+01,1.230308e+01
8.469070e-01,5.057729e+24,1.000000e-01,1.197881e+01
8.469070e-01,5.057729e+24,1.172102e-01,1.197991e+01
8.469070e-01,5.057729e+24,1.373824e-01,1.198119e+01
8.469070e-01,5.057729e+24,1.610262e-01,1.198269e+01
8.469070e-01,5.057729e+24,1.887392e-01,1.198445e+01
8.469070e-01,5.057729e+24,2.212216e-01,1.198651e+01
8.469070e-01,5.057729e+24,2.592944e-01,1.198892e+01
8.469070e-01,5.057729e+24,3.039195e-01,1.199175e+01
8.469070e-01,5.057729e+24,3.562248e-01,1.199505e+01
8.469070e-01,5.057729e+24,4.175319e-01,1.199893e+01
8.469070e-01,5.057729e+24,4.893901e-01,1.200346e+01
8.469070e-01,5.057729e+24,5.736153e-01,1.200876e+01
8.469070e-01,5.057729e+24,6.723358e-01,1.201496e+01
8.469070e-01,5.057729e+24,7.880463e-01,1.202221e+01
8.469070e-01,5.057729e+24,9.236709e-01,1.203068e+01
8.469070e-01,5.057729e+24,1.000000e+00,1.203544e+01
8.469070e-01,5.057729e+24,1.082637e+00,1.204058e+01
8.469070e-01,5.057729e+24,1.268961e+00,1.205213e+01
8.469070e-01,5.057729e+24,1.487352e+00,1.206560e+01
8.469070e-01,5.057729e+24,1.743329e+00,1.208130e+01
8.469070e-01,5.057729e+24,2.043360e+00,1.209959e+01
8.469070e-01,5.057729e+24,2.395027e+00,1.212085e+01
8.469070e-01,5.057729e+24,2.807216e+00,1.214553e+01
8.469070e-01,5.057729e+24,3.290345e+00,1.217414e+01
8.469070e-01,5.057729e+24,3.856620e+00,1.220724e+01
8.469070e-01,5.057729e+24,4.520354e+00,1.224542e+01
8.469070e-01,5.057729e+24,5.298317e+00,1.228932e+01
8.469070e-01,5.057729e+24,6.210169e+00,1.233963e+01
8.469070e-01,5.057729e+24,7.278954e+00,1.239700e+01
8.469070e-01,5.057729e+24,8.531679e+00,1.249000e+01
8.469070e-01,5.057729e+24,1.000000e+01,1.257446e+01
9.131262e-01,5.453190e+24,1.000000e-01,1.229693e+01
9.131262e-01,5.453190e+24,1.172102e-01,1.229796e+01
9.131262e-01,5.453190e+24,1.373824e-01,1.229916e+01
9.131262e-01,5.453190e+24,1.610262e-01,1.230056e+01
9.131262e-01,5.453190e+24,1.887392e-01,1.230221e+01
9.131262e-01,5.453190e+24,2.212216e-01,1.230413e+01
9.131262e-01,5.453190e+24,2.592944e-01,1.230639e+01
9.131262e-01,5.453190e+24,3.039195e-01,1.230904e+01
9.131262e-01,5.453190e+24,3.562248e-01,1.231213e+01
9.131262e-01,5.453190e+24,4.175319e-01,1.231575e+01
9.131262e-01,5.453190e+24,4.893901e-01,1.231999e+01
9.131262e-01,5.453190e+24,5.736153e-01,1.232495e+01
9.131262e-01,5.453190e+24,6.723358e-01,1.233075e+01
9.131262e-01,5.453190e+24,7.880463e-01,1.233753e+01
9.131262e-01,5.453190e+24,9.236709e-01,1.234545e+01
9.131262e-01,5.453190e+24,1.000000e+00,1.234990e+01
9.131262e-01,5.453190e+24,1.082637e+00,1.235470e+01
9.131262e-01,5.453190e+24,1.268961e+00,1.236550e+01
9.131262e-01,5.453190e+24,1.487352e+00,1.237809e+01
9.131262e-01,5.453190e+24,1.743329e+00,1.239276e+01
9.131262e-01,5.453190e+24,2.043360e+00,1.240984e+01
9.131262e-01,5.453190e+24,2.395027e+00,1.242969e+01
9.131262e-01,5.453190e+24,2.807216e+00,1.245273e+01
9.131262e-01,5.453190e+24,3.290345e+00,1.247942e+01
9.131262e-01,5.453190e+24,3.856620e+00,1.251028e+01
9.131262e-01,5.453190e+24,4.520354e+00,1.254585e+01
9.131262e-01,5.453190e+24,5.298317e+00,1.258672e+01
9.131262e-01,5.453190e+24,6.210169e+00,1.263350e+01
