M_planet (M_Earth),M_planet (kg),Pressure (bar),Feasible,Launch Mass (kg),Num Stages,Mission Reliability
6.756945e-01,4.035248e+24,4.520354e+00,1,2.647867e+04,2,0.940900
6.756945e-01,4.035248e+24,5.298317e+00,1,2.699066e+04,2,0.940900
6.756945e-01,4.035248e+24,6.210169e+00,1,2.759334e+04,2,0.940900
6.756945e-01,4.035248e+24,7.278954e+00,1,2.830247e+04,2,0.940900
6.756945e-01,4.035248e+24,8.531679e+00,1,2.913606e+04,2,0.940900
6.756945e-01,4.035248e+24,1.000000e+01,1,3.011413e+04,2,0.940900
7.285268e-01,4.350762e+24,1.000000e-01,1,2.619920e+04,2,0.940900
7.285268e-01,4.350762e+24,1.172102e-01,1,2.621077e+04,2,0.940900
7.285268e-01,4.350762e+24,1.373824e-01,1,2.622433e+04,2,0.940900
7.285268e-01,4.350762e+24,1.610262e-01,1,2.624022e+04,2,0.940900
7.285268e-01,4.350762e+24,1.887392e-01,1,2.625886e+04,2,0.940900
7.285268e-01,4.350762e+24,2.212216e-01,1,2.628071e+04,2,0.940900
7.285268e-01,4.350762e+24,2.592944e-01,1,2.630633e+04,2,0.940900
7.285268e-01,4.350762e+24,3.039195e-01,1,2.633636e+04,2,0.940900
7.285268e-01,4.350762e+24,3.562248e-01,1,2.637159e+04,2,0.940900
7.285268e-01,4.350762e+24,4.175319e-01,1,2.641289e+04,2,0.940900
7.285268e-01,4.350762e+24,4.893901e-01,1,2.646133e+04,2,0.940900
7.285268e-01,4.350762e+24,5.736153e-01,1,2.651815e+04,2,0.940900
7.285268e-01,4.350762e+24,6.723358e-01,1,2.658480e+04,2,0.940900
7.285268e-01,4.350762e+24,7.880463e-01,1,2.666299e+04,2,0.940900
7.285268e-01,4.350762e+24,9.236709e-01,1,2.675473e+04,2,0.940900
7.285268e-01,4.350762e+24,1.000000e+00,1,2.680641e+04,2,0.940900
7.285268e-01,4.350762e+24,1.082637e+00,1,2.686239e+04,2,0.940900
7.285268e-01,4.350762e+24,1.268961e+00,1,2.698875e+04,2,0.940900
7.285268e-01,4.350762e+24,1.487352e+00,1,2.713710e+04,2,0.940900
7.285268e-01,4.350762e+24,1.743329e+00,1,2.731128e+04,2,0.940900
7.285268e-01,4.350762e+24,2.043360e+00,1,2.751586e+04,2,0.940900
7.285268e-01,4.350762e+24,2.395027e+00,1,2.775618e+04,2,0.940900
7.285268e-01,4.350762e+24,2.807216e+00,1,2.803855e+04,2,0.940900
7.285268e-01,4.350762e+24,3.290345e+00,1,2.837042e+04,2,0.940900
7.285268e-01,4.350762e+24,3.856620e+00,1,2.876051e+04,2,0.940900
7.285268e-01,4.350762e+24,4.520354e+00,1,2.921906e+04,2,0.940900
7.285268e-01,4.350762e+24,5.298317e+00,1,2.975803e+04,2,0.940900
7.285268e-01,4.350762e+24,6.210169e+00,1,3.039132e+04,2,0.940900
7.285268e-01,4.350762e+24,7.278954e+00,1,3.113484e+04,2,0.940900
7.285268e-01,4.350762e+24,8.531679e+00,1,3.200655e+04,2,0.940900
7.285268e-01,4.350762e+24,1.000000e+01,1,3.346984e+04,2,0.940900
7.854899e-01,4.690946e+24,1.000000e-01,1,2.919481e+04,2,0.940900
7.854899e-01,4.690946e+24,1.172102e-01,1,2.920717e+04,2,0.940900
7.854899e-01,4.690946e+24,1.373824e-01,1,2.922165e+04,2,0.940900
7.854899e-01,4.690946e+24,1.610262e-01,1,2.923863e+04,2,0.940900
7.854899e-01,4.690946e+24,1.887392e-01,1,2.925853e+04,2,0.940900
7.854899e-01,4.690946e+24,2.212216e-01,1,2.928186e+04,2,0.940900
7.854899e-01,4.690946e+24,2.592944e-01,1,2.930922e+04,2,0.940900
7.854899e-01,4.690946e+24,3.039195e-01,1,2.934129e+04,2,0.940900
7.854899e-01,4.690946e+24,3.562248e-01,1,2.937889e+04,2,0.940900
7.854899e-01,4.690946e+24,4.175319e-01,1,2.942299e+04,2,0.940900
7.854899e-01,4.690946e+24,4.893901e-01,1,2.947469e+04,2,0.940900
7.854899e-01,4.690946e+24,5.736153e-01,1,2.953533e+04,2,0.940900
7.854899e-01,4.690946e+24,6.723358e-01,1,2.960644e+04,2,0.940900
7.854899e-01,4.690946e+24,7.880463e-01,1,2.968985e+04,2,0.940900
7.854899e-01,4.690946e+24,9.236709e-01,1,2.978769e+04,2,0.940900
7.854899e-01,4.690946e+24,1.000000e+00,1,2.984279e+04,2,0.940900
7.854899e-01,4.690946e+24,1.082637e+00,1,2.990247e+04,2,0.940900
7.854899e-01,4.690946e+24,1.268961e+00,1,3.003715e+04,2,0.940900
7.854899e-01,4.690946e+24,1.487352e+00,1,3.019519e+04,2,0.940900
7.854899e-01,4.690946e+24,1.743329e+00,1,3.038068e+04,2,0.940900
7.854899e-01,4.690946e+24,2.043360e+00,1,3.059839e+04,2,0.940900
7.854899e-01,4.690946e+24,2.395027e+00,1,3.085399e+04,2,0.940900
7.854899e-01,4.690946e+24,2.807216e+00,1,3.115407e+04,2,0.940900
7.854899e-01,4.690946e+24,3.290345e+00,1,3.150641e+04,2,0.940900
7.854899e-01,4.690946e+24,3.856620e+00,1,3.192012e+04,2,0.940900
7.854899e-01,4.690946e+24,4.520354e+00,1,3.240579e+04,2,0.940900
7.854899e-01,4.690946e+24,5.298317e+00,1,3.297576e+04,2,0.940900
7.854899e-01,4.690946e+24,6.210169e+00,1,3.364422e+04,2,0.940900
7.854899e-01,4.690946e+24,7.278954e+00,1,3.442729e+04,2,0.940900
7.854899e-01,4.690946e+24,8.531679e+00,1,3.570147e+04,2,0.940900
7.854899e-01,4.690946e+24,1.000000e+01,1,3.693431e+04,2,0.940900
8.469070e-01,5.057729e+24,1.000000e-01,1,3.270494e+04,2,0.940900
8.469070e-01,5.057729e+24,1.172102e-01,1,3.271820e+04,2,0.940900
8.469070e-01,5.057729e+24,1.373824e-01,1,3.273375e+04,2,0.940900
8.469070e-01,5.057729e+24,1.610262e-01,1,3.275197e+04,2,0.940900
8.469070e-01,5.057729e+24,1.887392e-01,1,3.277333e+04,2,0.940900
8.469070e-01,5.057729e+24,2.212216e-01,1,3.279838e+04,2,0.940900
8.469070e-01,5.057729e+24,2.592944e-01,1,3.282773e+04,2,0.940900
8.469070e-01,5.057729e+24,3.039195e-01,1,3.286215e+04,2,0.940900
8.469070e-01,5.057729e+24,3.562248e-01,1,3.290250e+04,2,0.940900
8.469070e-01,5.057729e+24,4.175319e-01,1,3.294981e+04,2,0.940900
8.469070e-01,5.057729e+24,4.893901e-01,1,3.300527e+04,2,0.940900
8.469070e-01,5.057729e+24,5.736153e-01,1,3.307031e+04,2,0.940900
8.469070e-01,5.057729e+24,6.723358e-01,1,3.314657e+04,2,0.940900
8.469070e-01,5.057729e+24,7.880463e-01,1,3.323600e+04,2,0.940900
8.469070e-01,5.057729e+24,9.236709e-01,1,3.334087e+04,2,0.940900
8.469070e-01,5.057729e+24,1.000000e+00,1,3.339992e+04,2,0.940900
8.469070e-01,5.057729e+24,1.082637e+00,1,3.346387e+04,2,0.940900
8.469070e-01,5.057729e+24,1.268961e+00,1,3.360814e+04,2,0.940900
8.469070e-01,5.057729e+24,1.487352e+00,1,3.377736e+04,2,0.940900
