M_planet (M_Earth),M_planet (kg),Pressure (bar),Launch Mass (tons)
1.061503e+00,6.339293e+24,2.592944e-01,4.785549e+01
1.061503e+00,6.339293e+24,3.039195e-01,4.789957e+01
1.061503e+00,6.339293e+24,3.562248e-01,4.795125e+01
1.061503e+00,6.339293e+24,4.175319e-01,4.801181e+01
1.061503e+00,6.339293e+24,4.893901e-01,4.808279e+01
1.061503e+00,6.339293e+24,5.736153e-01,4.816597e+01
1.061503e+00,6.339293e+24,6.723358e-01,4.826346e+01
1.061503e+00,6.339293e+24,7.880463e-01,4.837770e+01
1.061503e+00,6.339293e+24,9.236709e-01,4.851157e+01
1.061503e+00,6.339293e+24,1.000000e+00,4.858689e+01
1.061503e+00,6.339293e+24,1.082637e+00,4.866843e+01
1.061503e+00,6.339293e+24,1.268961e+00,4.885221e+01
1.061503e+00,6.339293e+24,1.487352e+00,4.906750e+01
1.061503e+00,6.339293e+24,1.743329e+00,4.931967e+01
1.061503e+00,6.339293e+24,2.043360e+00,4.961498e+01
1.061503e+00,6.339293e+24,2.395027e+00,4.996068e+01
1.061503e+00,6.339293e+24,2.807216e+00,5.036524e+01
1.061503e+00,6.339293e+24,3.290345e+00,5.083839e+01
1.061503e+00,6.339293e+24,3.856620e+00,5.139136e+01
1.061503e+00,6.339293e+24,4.520354e+00,5.203695e+01
1.061503e+00,6.339293e+24,5.298317e+00,5.278958e+01
1.061503e+00,6.339293e+24,6.210169e+00,5.401466e+01
1.061503e+00,6.339293e+24,7.278954e+00,5.517917e+01
1.061503e+00,6.339293e+24,8.531679e+00,5.656897e+01
1.061503e+00,6.339293e+24,1.000000e+01,5.823380e+01
1.144501e+00,6.834959e+24,1.000000e-01,5.487645e+01
1.144501e+00,6.834959e+24,1.172102e-01,5.489520e+01
1.144501e+00,6.834959e+24,1.373824e-01,5.491717e+01
1.144501e+00,6.834959e+24,1.610262e-01,5.494292e+01
1.144501e+00,6.834959e+24,1.887392e-01,5.497310e+01
1.144501e+00,6.834959e+24,2.212216e-01,5.500846e+01
1.144501e+00,6.834959e+24,2.592944e-01,5.504991e+01
1.144501e+00,6.834959e+24,3.039195e-01,5.509849e+01
1.144501e+00,6.834959e+24,3.562248e-01,5.515542e+01
1.144501e+00,6.834959e+24,4.175319e-01,5.522213e+01
1.144501e+00,6.834959e+24,4.893901e-01,5.530030e+01
1.144501e+00,6.834959e+24,5.736153e-01,5.539191e+01
1.144501e+00,6.834959e+24,6.723358e-01,5.549923e+01
1.144501e+00,6.834959e+24,7.880463e-01,5.562498e+01
1.144501e+00,6.834959e+24,9.236709e-01,5.577229e+01
1.144501e+00,6.834959e+24,1.000000e+00,5.585516e+01
1.144501e+00,6.834959e+24,1.082637e+00,5.594484e+01
1.144501e+00,6.834959e+24,1.268961e+00,5.614693e+01
1.144501e+00,6.834959e+24,1.487352e+00,5.638357e+01
1.144501e+00,6.834959e+24,1.743329e+00,5.666059e+01
1.144501e+00,6.834959e+24,2.043360e+00,5.698479e+01
1.144501e+00,6.834959e+24,2.395027e+00,5.736404e+01
1.144501e+00,6.834959e+24,2.807216e+00,5.780745e+01
1.144501e+00,6.834959e+24,3.290345e+00,5.832549e+01
1.144501e+00,6.834959e+24,3.856620e+00,5.893016e+01
1.144501e+00,6.834959e+24,4.520354e+00,5.963502e+01
1.144501e+00,6.834959e+24,5.298317e+00,6.045523e+01
1.144501e+00,6.834959e+24,6.210169e+00,6.182874e+01
1.144501e+00,6.834959e+24,7.278954e+00,6.310845e+01
1.144501e+00,6.834959e+24,8.531679e+00,6.463508e+01
1.144501e+00,6.834959e+24,1.000000e+01,6.646302e+01
