Planetary Mass (M_Earth),Planetary Mass (kg),Magnetic Reynolds Number,log10_Rm,above_Rm_crit,above_Rm_robust
7.869597989949749,4.69972391959799e+25,3098.827091435518,3.491197344122336,True,True
7.969849246231155,4.759593969849246e+25,3123.124793694495,3.4945893380982986,True,True
8.070100502512563,4.819464020100503e+25,3147.3057151164494,3.4979389303741484,True,True
8.17035175879397,4.879334070351759e+25,3171.3718573798888,3.501247167962041,True,True
8.270603015075377,4.9392041206030154e+25,3195.325163767971,3.5045150595662884,True,True
8.370854271356784,4.999074170854271e+25,3219.167521557766,3.5077435774296637,True,True
8.471105527638192,5.058944221105529e+25,3242.9007642843803,3.510933659069795,True,True
8.5713567839196,5.118814271356785e+25,3266.5266738878904,3.5140862089134095,True,True
8.671608040201006,5.178684321608041e+25,3290.04698275045,3.517202099835559,True,True
8.771859296482413,5.238554371859297e+25,3313.463375630393,3.520282174610373,True,True
8.87211055276382,5.2984244221105535e+25,3336.777491499657,3.523327247279376,True,True
8.972361809045227,5.358294472361809e+25,3359.9909252903935,3.5263381044429307,True,True
9.072613065326633,5.418164522613066e+25,3383.105229556213,3.5293155064799238,True,True
9.17286432160804,5.478034572864322e+25,3406.1219160531423,3.5322601887004352,True,True
9.273115577889447,5.537904623115578e+25,3429.0424572449942,3.5351728624357563,True,True
9.373366834170854,5.597774673366834e+25,3451.8682877375577,3.5380542160697988,True,True
9.473618090452263,5.6576447236180916e+25,3474.600805645677,3.5409049160156396,True,True
9.57386934673367,5.717514773869347e+25,3497.2413738970527,3.5437256076406647,True,True
9.674120603015076,5.777384824120604e+25,3519.791321476319,3.5465169161435255,True,True
9.774371859296483,5.83725487437186e+25,3542.2519446127203,3.5492794473858864,True,True
9.87462311557789,5.897124924623116e+25,3564.6245079144956,3.552013788681735,True,True
9.974874371859297,5.956994974874372e+25,3586.910245452885,3.554720509546826,True,True
10.075125628140704,6.016865025125629e+25,3609.1103617984654,3.5574001624106484,True,True
10.17537688442211,6.0767350753768845e+25,3631.2260330123727,3.560053283293146,True,True
10.275628140703517,6.136605125628141e+25,3653.2584075948075,3.5626803924482657,True,True
10.375879396984924,6.196475175879397e+25,3675.208607393043,3.565281994976257,True,True
10.476130653266333,6.256345226130654e+25,3697.077728471049,3.5678585814065396,True,True
10.57638190954774,6.31621527638191e+25,3718.8668419427163,3.5704106282528105,True,True
10.676633165829147,6.376085326633167e+25,3740.5769947705085,3.5729385985419633,True,True
10.776884422110554,6.435955376884423e+25,3762.209210531323,3.5754429423182943,True,True
10.87713567839196,6.495825427135679e+25,3783.764490151153,3.5779240971243618,True,True
10.977386934673367,6.555695477386935e+25,3805.2438126101483,3.580382488459788,True,True
11.077638190954774,6.615565527638192e+25,3826.648135619479,3.5828185302192024,True,True
11.177889447236181,6.675435577889447e+25,3847.9783962714173,3.585232625110461,True,True
11.278140703517588,6.735305628140704e+25,3869.2355116638837,3.5876251650541904,True,True
11.378391959798995,6.79517567839196e+25,3890.4203795007247,3.5899965315656543,True,True
11.478643216080403,6.855045728643217e+25,3911.533878668823,3.5923470961198696,True,True
11.57889447236181,6.914915778894473e+25,3932.576869793178,3.594677220500848,True,True
11.679145728643217,6.97478582914573e+25,3953.5501957709284,3.5969872571357815,True,True
11.779396984924624,7.0346558793969854e+25,3974.4546822853335,3.599277549414948,True,True
11.87964824120603,7.094525929648242e+25,3995.291138300609,3.6015484319980597,True,True
11.979899497487438,7.154395979899498e+25,4016.060356538484,3.6038002311077393,True,True
12.080150753768844,7.2142660301507545e+25,4036.7631139373043,3.6060332648107676,True,True
12.180402010050251,7.27413608040201e+25,4057.400172094476,3.608247843287708,True,True
12.280653266331658,7.334006130653267e+25,4077.9722776929493,3.6104442690914835,True,True
12.380904522613065,7.393876180904523e+25,4098.480162912487,3.612622837395435,True,True
12.481155778894474,7.45374623115578e+25,4118.924545826352,3.6147838362313873,True,True
12.58140703517588,7.513616281407036e+25,4139.306130784039,3.6169275467181796,True,True
12.681658291457287,7.5734863316582925e+25,4159.625608780681,3.619054243281139,True,True
12.781909547738694,7.633356381909548e+25,4179.883657813654,3.621164193862903,True,True
12.882160804020101,7.693226432160805e+25,4200.080943226954,3.6232576601260145,True,True
12.982412060301508,7.753096482412062e+25,4220.21811804384,3.6253348976476576,True,True
13.082663316582915,7.812966532663316e+25,4240.295823288232,3.627396156106907,True,True
13.182914572864322,7.872836582914573e+25,4260.314688295338,3.629441679464829,True,True
13.283165829145728,7.93270663316583e+25,4280.275331011925,3.6314717061377606,True,True
13.383417085427137,7.992576683417086e+25,4300.178358286699,3.6334864691640725,True,True
13.483668341708544,8.052446733668343e+25,4320.024366151134,3.635486196364713,True,True
13.58391959798995,8.1123167839196e+25,4339.813940091183,3.637471110497801,True,True
13.684170854271358,8.172186834170855e+25,4359.547655310206,3.6394414294075386,True,True
13.784422110552764,8.232056884422111e+25,4379.226076983461,3.6413973661676886,True,True
13.884673366834171,8.291926934673368e+25,4398.849760504502,3.6433391292198505,True,True
13.984924623115578,8.351796984924624e+25,4418.419251723786,3.645266922506765,True,True
14.085175879396985,8.41166703517588e+25,4437.935087179793,3.647180945600858,True,True
14.185427135678392,8.471537085427136e+25,4457.397794322953,3.649081393828223,True,True
14.285678391959799,8.531407135678393e+25,4476.807891732621,3.6509684583882414,True,True
14.385929648241207,8.59127718592965e+25,4496.165889327424,3.6528423264690155,True,True
14.486180904522614,8.651147236180906e+25,4515.472288569167,3.6547031813588013,True,True
14.586432160804021,8.711017286432162e+25,4534.727582660558,3.656551202553588,True,True
14.686683417085428,8.770887336683417e+25,4553.932256737004,3.6583865658610013,True,True
14.786934673366835,8.830757386934674e+25,4573.086788052668,3.6602094435006713,True,True
14.887185929648242,8.89062743718593e+25,4592.19164616099,3.6620200042012048,True,True
14.987437185929648,8.950497487437187e+25,4611.247293089908,3.663818413293909,True,True
15.087688442211055,9.010367537688442e+25,4630.25418351194,3.6656048328033872,True,True
15.187939698492462,9.070237587939699e+25,4649.212764909308,3.6673794215351374,True,True
15.288190954773869,9.130107638190955e+25,4668.123477734312,3.669142335160267,True,True
15.388442211055278,9.189977688442212e+25,4686.986755565081,3.670893726297439,True,True
15.488693467336685,9.249847738693469e+25,4705.803025256889,3.6726337445921597,True,True
15.588944723618091,9.309717788944725e+25,4724.572707089194,3.6743625367935073,True,True
15.689195979899498,9.36958783919598e+25,4743.296214908516,3.6760802468283993,True,True
15.789447236180905,9.429457889447237e+25,4761.973956267337,3.6777870158734993,True,True
15.889698492462312,9.489327939698493e+25,4780.606332559128,3.6794829824248425,True,True
15.989949748743719,9.54919798994975e+25,4799.193739149659,3.681168282365278,True,True
16.090201005025126,9.609068040201005e+25,4817.73656550469,3.6828430490297954,True,True
16.190452261306532,9.668938090452262e+25,4836.235195314189,3.684507413268832,True,True
16.29070351758794,9.728808140703518e+25,4854.6900066131775,3.686161503509618,True,True
16.390954773869346,9.788678190954775e+25,4873.1013718993345,3.687805445815644,True,True
16.491206030150753,9.84854824120603e+25,4891.46965824742,3.6894393639443153,True,True
16.59145728643216,9.908418291457286e+25,4909.795227420692,3.6910633794028573,True,True
16.691708542713567,9.968288341708543e+25,4928.078435979344,3.6926776115025386,True,True
16.791959798994974,1.0028158391959798e+26,4946.31963538611,3.6942821774112695,True,True
16.892211055276384,1.0088028442211056e+26,4964.519172109103,3.6958771922046356,True,True
16.99246231155779,1.0147898492462313e+26,4982.6773877219775,3.6974627689154205,True,True
17.092713567839198,1.020776854271357e+26,5000.794619001519,3.699039018581676,True,True
17.192964824120605,1.0267638592964826e+26,5018.871198022704,3.700606050293379,True,True
17.29321608040201,1.0327508643216081e+26,5036.907452251359,3.7021639712377397,True,True
17.39346733668342,1.0387378693467338e+26,5054.903704634447,3.703712886743196,True,True
